ship_type,route_id,distance,fuel_type,fuel_consumption,CO2_emissions,weather_conditions,engine_efficiency,speed,load,operational_cost
Oil Service Boat,Port Harcourt-Lagos,42.24,HFO,1799.8,4949.45,Moderate,94.55,17.71,70.35,899.9
Oil Service Boat,Warri-Bonny,135.8,Diesel,8927.29,23322.55,Moderate,75.27,18.89,93.54,5356.37
Oil Service Boat,Lagos-Apapa,71.68,Diesel,1047.52,2736.65,Stormy,87.39,10.7,89.12,628.51
Oil Service Boat,Escravos-Lagos,149.48,HFO,7141.5,19639.12,Calm,79.75,19.11,78.35,3570.75
Oil Service Boat,Warri-Bonny,95.13,HFO,2523.61,6939.93,Stormy,85.76,12.56,86.92,1261.8
Oil Service Boat,Warri-Bonny,128.87,Methanol,2675.15,6621.0,Moderate,93.64,10.98,93.93,1872.6
Oil Service Boat,Escravos-Lagos,33.63,Hydrogen,6999.06,0.0,Stormy,83.25,24.23,70.21,10498.59
Oil Service Boat,Port Harcourt-Lagos,110.44,HFO,6722.08,18485.72,Stormy,71.78,24.48,66.35,3361.04
Oil Service Boat,Escravos-Lagos,59.01,LNG,4485.49,9251.32,Moderate,75.24,22.13,83.38,2018.47
Surfer Boat,Escravos-Lagos,86.9,Methanol,2317.38,5735.52,Calm,70.52,14.57,90.39,1622.17
Surfer Boat,Lagos-Apapa,58.95,Methanol,605.41,1498.39,Stormy,75.07,11.47,88.11,423.79
Surfer Boat,Port Harcourt-Lagos,64.67,Diesel,2642.07,6902.41,Calm,90.92,20.26,89.89,1585.24
Surfer Boat,Lagos-Apapa,39.85,Diesel,746.88,1951.22,Stormy,73.87,16.6,71.78,448.13
Surfer Boat,Escravos-Lagos,192.04,Diesel,2175.01,5682.21,Calm,72.3,11.83,90.89,1305.01
Surfer Boat,Warri-Bonny,111.84,Methanol,1743.19,4314.4,Stormy,75.06,17.43,56.01,1220.23
Surfer Boat,Lagos-Apapa,165.4,Methanol,1708.51,4228.56,Calm,79.71,10.52,77.22,1195.96
Surfer Boat,Port Harcourt-Lagos,162.48,HFO,3467.93,9536.81,Calm,70.62,23.64,50.29,1733.96
Surfer Boat,Port Harcourt-Lagos,183.71,Diesel,1767.6,4617.85,Calm,78.82,13.88,66.23,1060.56
Surfer Boat,Lagos-Apapa,80.93,Ammonia,2202.29,302.81,Moderate,89.57,19.94,68.32,1982.06
Surfer Boat,Warri-Bonny,170.44,Methanol,2134.96,5284.03,Calm,89.0,14.68,69.81,1494.47
Surfer Boat,Escravos-Lagos,181.02,Hydrogen,7893.06,0.0,Moderate,84.91,17.8,84.77,11839.59
Tanker Ship,Escravos-Lagos,336.53,Methanol,25506.54,63128.69,Calm,72.59,18.2,69.43,17854.58
Tanker Ship,Escravos-Lagos,494.24,Diesel,12218.7,31921.35,Stormy,94.18,12.77,72.43,7331.22
Tanker Ship,Warri-Bonny,159.49,LNG,14348.3,29593.37,Calm,74.34,24.54,61.88,6456.74
Tanker Ship,Port Harcourt-Lagos,363.22,LNG,37227.47,76781.66,Calm,75.92,21.63,68.66,16752.36
Tanker Ship,Warri-Bonny,77.01,HFO,4985.97,13711.42,Moderate,71.15,24.09,61.36,2492.98
Tanker Ship,Escravos-Lagos,436.73,LNG,38823.3,80073.06,Moderate,88.75,23.42,53.66,17470.48
Tanker Ship,Warri-Bonny,405.98,Methanol,25581.67,63314.63,Moderate,89.93,18.97,80.17,17907.17
Tanker Ship,Port Harcourt-Lagos,77.51,HFO,7977.1,21937.02,Moderate,71.44,23.83,83.41,3988.55
Tanker Ship,Port Harcourt-Lagos,134.88,Methanol,4281.22,10596.02,Calm,87.7,11.33,80.97,2996.85
Tanker Ship,Warri-Bonny,199.13,LNG,5765.49,11891.32,Calm,92.1,12.94,73.17,2594.47
Tanker Ship,Escravos-Lagos,441.93,Hydrogen,20319.15,0.0,Calm,79.16,10.68,68.99,30478.72
Tanker Ship,Lagos-Apapa,172.3,HFO,10084.62,27732.7,Calm,76.53,14.88,93.17,5042.31
Surfer Boat,Lagos-Apapa,147.9,Diesel,2846.17,7435.62,Stormy,87.24,15.83,75.95,1707.7
Surfer Boat,Escravos-Lagos,44.52,LNG,632.9,1305.36,Stormy,94.2,14.07,73.96,284.8
Surfer Boat,Lagos-Apapa,113.0,Diesel,2375.92,6207.09,Moderate,76.44,22.43,51.28,1425.55
Surfer Boat,Lagos-Apapa,87.17,Methanol,1803.03,4462.5,Stormy,92.06,15.35,67.06,1262.12
Surfer Boat,Escravos-Lagos,197.78,Methanol,2974.39,7361.62,Stormy,73.67,14.21,69.01,2082.07
Surfer Boat,Warri-Bonny,62.36,HFO,1587.76,4366.34,Calm,93.83,18.14,69.94,793.88
Surfer Boat,Warri-Bonny,158.07,LNG,1952.16,4026.33,Stormy,81.67,12.11,79.01,878.47
Surfer Boat,Warri-Bonny,117.52,LNG,4597.74,9482.84,Moderate,89.42,22.03,76.68,2068.98
Surfer Boat,Lagos-Apapa,155.32,Diesel,1315.99,3438.02,Stormy,87.02,11.12,80.4,789.59
Surfer Boat,Escravos-Lagos,145.53,Ammonia,12485.87,1716.81,Moderate,79.32,24.8,88.24,11237.28
Surfer Boat,Port Harcourt-Lagos,34.55,Methanol,1909.05,4724.9,Calm,85.62,21.58,90.65,1336.34
Surfer Boat,Lagos-Apapa,129.52,LNG,1355.99,2796.73,Calm,88.26,12.98,85.91,610.2
Surfer Boat,Warri-Bonny,66.87,Methanol,495.23,1225.69,Calm,86.15,10.08,97.78,346.66
Surfer Boat,Escravos-Lagos,31.95,Diesel,501.93,1311.29,Moderate,88.57,22.23,50.91,301.16
Surfer Boat,Lagos-Apapa,134.85,Ammonia,3128.79,430.21,Moderate,88.42,20.6,59.79,2815.91
Surfer Boat,Escravos-Lagos,111.86,LNG,2617.33,5398.24,Stormy,94.84,20.94,50.38,1177.8
Surfer Boat,Port Harcourt-Lagos,77.89,Methanol,2497.69,6181.78,Stormy,80.75,21.57,82.37,1748.38
Surfer Boat,Port Harcourt-Lagos,147.09,Ammonia,2823.14,388.18,Calm,86.78,11.11,94.9,2540.83
Surfer Boat,Escravos-Lagos,52.12,Diesel,675.16,1763.86,Stormy,80.59,15.38,62.17,405.1
Surfer Boat,Port Harcourt-Lagos,46.21,Methanol,608.77,1506.71,Calm,74.71,11.74,96.35,426.14
Surfer Boat,Port Harcourt-Lagos,54.78,HFO,1696.64,4665.76,Moderate,87.9,22.95,53.01,848.32
Surfer Boat,Escravos-Lagos,56.75,Diesel,1522.07,3976.41,Moderate,74.54,19.35,96.72,913.24
Surfer Boat,Port Harcourt-Lagos,90.91,Diesel,1386.9,3623.28,Stormy,72.61,14.96,67.58,832.14
Surfer Boat,Warri-Bonny,37.38,Hydrogen,541.37,0.0,Moderate,79.05,10.95,55.07,812.06
Tanker Ship,Lagos-Apapa,312.45,Ammonia,18920.49,2601.57,Calm,79.01,14.66,74.29,17028.44
Tanker Ship,Lagos-Apapa,423.27,Methanol,18021.92,44604.25,Calm,94.38,14.88,62.84,12615.34
Tanker Ship,Escravos-Lagos,337.15,Methanol,28864.17,71438.82,Moderate,93.83,20.94,64.24,20204.92
Tanker Ship,Lagos-Apapa,261.92,LNG,19395.06,40002.31,Moderate,70.95,19.56,65.36,8727.78
Tanker Ship,Escravos-Lagos,448.48,Ammonia,55754.73,7666.28,Stormy,89.59,23.31,90.15,50179.26
Tanker Ship,Lagos-Apapa,77.81,Diesel,4041.07,10557.3,Calm,79.56,17.08,76.96,2424.64
Tanker Ship,Port Harcourt-Lagos,58.63,Diesel,1449.22,3786.09,Stormy,80.86,11.79,65.57,869.53
Tanker Ship,Lagos-Apapa,391.76,HFO,36765.76,101105.84,Moderate,75.83,20.7,80.52,18382.88
Tanker Ship,Warri-Bonny,169.25,Methanol,19384.27,47976.07,Stormy,89.83,21.41,85.81,13568.99
Tanker Ship,Escravos-Lagos,370.45,Methanol,19852.77,49135.61,Calm,72.13,18.42,63.63,13896.94
Tanker Ship,Warri-Bonny,76.76,Diesel,4586.61,11982.52,Moderate,80.94,21.56,70.68,2751.97
Tanker Ship,Lagos-Apapa,497.16,HFO,24833.05,68290.89,Calm,72.14,17.41,56.09,12416.52
Fishing Trawler,Escravos-Lagos,147.06,Methanol,4432.96,10971.58,Stormy,78.5,17.84,59.06,3103.07
Fishing Trawler,Lagos-Apapa,196.74,HFO,5398.94,14847.08,Moderate,72.16,16.41,84.06,2699.47
Fishing Trawler,Port Harcourt-Lagos,120.31,Methanol,1098.91,2719.8,Moderate,92.48,10.38,59.07,769.24
Fishing Trawler,Port Harcourt-Lagos,60.39,Hydrogen,2282.22,0.0,Calm,85.31,11.62,76.26,3423.33
Fishing Trawler,Warri-Bonny,160.89,Diesel,2223.48,5808.84,Moderate,78.4,10.47,85.45,1334.09
Fishing Trawler,Lagos-Apapa,58.09,HFO,1858.8,5111.7,Calm,74.19,19.55,55.34,929.4
Fishing Trawler,Escravos-Lagos,155.88,Methanol,5306.17,13132.77,Moderate,84.86,14.72,78.37,3714.32
Fishing Trawler,Port Harcourt-Lagos,195.5,Methanol,8075.66,19987.26,Stormy,89.13,17.63,62.83,5652.96
Fishing Trawler,Lagos-Apapa,69.55,LNG,6224.17,12837.35,Stormy,72.15,23.61,98.15,2800.88
Fishing Trawler,Port Harcourt-Lagos,128.88,Hydrogen,7720.56,0.0,Calm,80.41,13.74,74.18,11580.84
Fishing Trawler,Warri-Bonny,149.46,HFO,5137.57,14128.32,Moderate,82.77,16.16,90.3,2568.78
Fishing Trawler,Escravos-Lagos,60.39,LNG,4093.77,8443.4,Stormy,79.72,21.33,77.51,1842.2
Fishing Trawler,Port Harcourt-Lagos,90.31,Methanol,1395.16,3453.02,Moderate,84.4,13.43,52.17,976.61
Fishing Trawler,Warri-Bonny,116.16,Ammonia,2815.41,387.12,Moderate,74.28,11.15,81.66,2533.87
Fishing Trawler,Warri-Bonny,181.07,HFO,6397.64,17593.51,Stormy,83.54,14.35,97.57,3198.82
Fishing Trawler,Lagos-Apapa,72.16,Methanol,1320.84,3269.08,Calm,91.0,12.42,80.08,924.59
Fishing Trawler,Warri-Bonny,155.61,LNG,13723.19,28304.08,Moderate,71.13,23.95,90.96,6175.44
Fishing Trawler,Port Harcourt-Lagos,195.89,Diesel,10621.21,27747.91,Calm,72.2,22.12,94.21,6372.73
Fishing Trawler,Lagos-Apapa,168.1,HFO,6623.49,18214.6,Calm,81.59,19.5,61.4,3311.74
Fishing Trawler,Warri-Bonny,55.75,Ammonia,3919.39,538.92,Calm,89.36,23.07,60.6,3527.45
Fishing Trawler,Escravos-Lagos,108.17,HFO,6709.52,18451.18,Moderate,73.43,22.06,80.55,3354.76
Fishing Trawler,Lagos-Apapa,107.53,Diesel,1422.63,3716.62,Moderate,84.23,12.8,70.55,853.58
Fishing Trawler,Warri-Bonny,81.16,Diesel,5609.9,14655.86,Stormy,85.69,23.39,91.99,3365.94
Fishing Trawler,Port Harcourt-Lagos,167.25,Ammonia,11287.64,1552.05,Moderate,92.63,18.09,95.0,10158.88
Oil Service Boat,Warri-Bonny,23.66,LNG,1314.09,2710.31,Moderate,86.98,22.11,67.67,591.34
Oil Service Boat,Escravos-Lagos,34.39,Methanol,2282.5,5649.19,Stormy,80.47,23.44,61.84,1597.75
Oil Service Boat,Warri-Bonny,82.31,Diesel,2253.44,5887.11,Calm,74.3,14.77,89.03,1352.06
Oil Service Boat,Port Harcourt-Lagos,57.76,LNG,989.24,2040.31,Stormy,92.78,11.65,63.74,445.16
Oil Service Boat,Port Harcourt-Lagos,142.27,LNG,4639.95,9569.9,Moderate,78.94,13.42,91.13,2087.98
Oil Service Boat,Lagos-Apapa,31.26,Methanol,1446.32,3579.64,Calm,88.97,16.41,71.19,1012.42
Oil Service Boat,Lagos-Apapa,66.04,Ammonia,7678.32,1055.77,Moderate,76.42,22.27,83.38,6910.49
Oil Service Boat,Warri-Bonny,53.74,HFO,2890.1,7947.78,Calm,70.4,22.91,54.78,1445.05
Oil Service Boat,Warri-Bonny,73.53,LNG,1376.68,2839.4,Stormy,80.77,10.1,81.19,619.51
Oil Service Boat,Port Harcourt-Lagos,39.69,HFO,1540.14,4235.38,Moderate,91.55,17.66,72.59,770.07
Oil Service Boat,Lagos-Apapa,103.11,LNG,4759.09,9815.62,Calm,85.64,16.26,79.33,2141.59
Oil Service Boat,Escravos-Lagos,39.03,Diesel,731.78,1911.78,Moderate,70.59,13.33,58.4,439.07
Tanker Ship,Lagos-Apapa,337.43,Diesel,7342.81,19183.09,Calm,71.85,11.8,86.84,4405.69
Tanker Ship,Port Harcourt-Lagos,364.78,Diesel,13831.94,36135.94,Stormy,83.8,15.06,93.14,8299.16
Tanker Ship,Warri-Bonny,490.16,LNG,56208.4,115929.83,Calm,93.41,24.14,60.84,25293.78
Tanker Ship,Port Harcourt-Lagos,262.21,Diesel,6720.36,17556.94,Stormy,71.69,14.85,54.79,4032.22
Tanker Ship,Lagos-Apapa,339.19,Methanol,16010.79,39626.71,Stormy,82.05,17.78,51.18,11207.55
Tanker Ship,Port Harcourt-Lagos,326.44,Diesel,30633.56,80030.18,Calm,80.76,20.55,82.1,18380.14
Tanker Ship,Lagos-Apapa,246.4,HFO,13243.28,36419.02,Moderate,92.15,15.45,80.35,6621.64
Tanker Ship,Escravos-Lagos,136.52,Methanol,19502.3,48268.19,Stormy,70.18,24.58,77.33,13651.61
Tanker Ship,Escravos-Lagos,414.23,Diesel,31788.21,83046.7,Calm,76.3,24.44,61.6,19072.93
Tanker Ship,Lagos-Apapa,356.17,Diesel,12326.38,32202.67,Moderate,80.23,13.78,69.55,7395.83
Tanker Ship,Escravos-Lagos,248.94,LNG,18410.16,37970.96,Calm,83.31,17.46,79.72,8284.57
Tanker Ship,Lagos-Apapa,345.77,Diesel,14576.01,38079.83,Calm,89.28,14.51,74.84,8745.61
Surfer Boat,Warri-Bonny,168.03,HFO,3063.4,8424.35,Stormy,90.96,14.27,99.39,1531.7
Surfer Boat,Escravos-Lagos,37.91,Diesel,189.15,494.15,Stormy,93.45,10.55,56.82,113.49
Surfer Boat,Lagos-Apapa,88.47,Ammonia,2303.17,316.69,Calm,73.06,19.14,84.76,2072.85
Surfer Boat,Port Harcourt-Lagos,102.3,LNG,1869.17,3855.16,Moderate,93.8,17.54,70.22,841.13
Surfer Boat,Lagos-Apapa,177.6,LNG,1613.0,3326.81,Stormy,86.97,10.77,71.41,725.85
Surfer Boat,Port Harcourt-Lagos,45.92,LNG,740.22,1526.7,Moderate,85.99,14.18,85.88,333.1
Surfer Boat,Lagos-Apapa,131.34,HFO,5860.65,16116.79,Moderate,82.34,23.62,84.62,2930.32
Surfer Boat,Port Harcourt-Lagos,46.49,Diesel,862.31,2252.78,Moderate,81.9,13.59,99.56,517.39
Surfer Boat,Port Harcourt-Lagos,136.27,Methanol,871.93,2158.03,Stormy,81.11,12.17,56.42,610.35
Surfer Boat,Port Harcourt-Lagos,167.82,HFO,2171.37,5971.27,Stormy,82.78,17.34,55.21,1085.68
Surfer Boat,Port Harcourt-Lagos,33.98,Diesel,1571.35,4105.15,Calm,93.83,24.78,86.22,942.81
Surfer Boat,Escravos-Lagos,61.71,Diesel,584.9,1528.05,Calm,89.22,13.63,78.92,350.94
Oil Service Boat,Warri-Bonny,85.61,Diesel,4186.55,10937.36,Moderate,77.99,20.08,63.71,2511.93
Oil Service Boat,Warri-Bonny,44.59,Hydrogen,4904.33,0.0,Stormy,77.98,21.42,53.97,7356.5
Oil Service Boat,Lagos-Apapa,53.32,HFO,825.92,2271.28,Calm,86.97,13.56,54.28,412.96
Oil Service Boat,Lagos-Apapa,82.9,LNG,6324.78,13044.86,Moderate,93.5,20.92,94.71,2846.15
Oil Service Boat,Port Harcourt-Lagos,132.17,HFO,2869.92,7892.28,Calm,89.39,15.52,59.59,1434.96
Oil Service Boat,Port Harcourt-Lagos,37.34,Hydrogen,4141.63,0.0,Stormy,94.22,19.48,66.17,6212.44
Oil Service Boat,Warri-Bonny,56.09,HFO,2131.72,5862.23,Moderate,91.91,19.5,61.33,1065.86
Oil Service Boat,Lagos-Apapa,76.32,Diesel,2460.78,6428.79,Moderate,81.5,18.04,67.75,1476.47
Oil Service Boat,Warri-Bonny,77.13,Methanol,1254.77,3105.56,Calm,82.28,11.35,53.47,878.34
Oil Service Boat,Port Harcourt-Lagos,69.53,Methanol,4849.27,12001.94,Stormy,79.36,22.53,75.95,3394.49
Oil Service Boat,Lagos-Apapa,114.4,Diesel,2498.27,6526.73,Calm,87.1,14.81,53.38,1498.96
Oil Service Boat,Warri-Bonny,113.4,Diesel,2928.7,7651.23,Calm,88.55,12.8,90.02,1757.22
Surfer Boat,Lagos-Apapa,39.1,Diesel,214.27,559.78,Calm,73.53,10.61,61.69,128.56
Surfer Boat,Port Harcourt-Lagos,188.79,Diesel,4215.22,11012.26,Moderate,71.59,18.86,77.0,2529.13
Surfer Boat,Escravos-Lagos,196.02,HFO,8617.58,23698.34,Calm,71.86,20.16,94.0,4308.79
Surfer Boat,Port Harcourt-Lagos,64.54,Diesel,332.34,868.24,Calm,83.99,10.25,82.54,199.4
Surfer Boat,Lagos-Apapa,71.33,Diesel,1831.13,4783.83,Moderate,72.48,17.68,76.65,1098.68
Surfer Boat,Lagos-Apapa,102.7,Diesel,770.33,2012.49,Moderate,80.83,13.4,66.22,462.2
Surfer Boat,Port Harcourt-Lagos,191.96,LNG,5972.1,12317.46,Stormy,80.93,19.68,66.65,2687.44
Surfer Boat,Warri-Bonny,72.07,Hydrogen,2034.56,0.0,Stormy,84.52,12.62,83.47,3051.84
Surfer Boat,Escravos-Lagos,198.44,LNG,6734.9,13890.73,Stormy,93.36,20.36,99.71,3030.7
Surfer Boat,Port Harcourt-Lagos,177.53,HFO,2709.41,7450.88,Moderate,78.77,15.8,83.09,1354.7
Surfer Boat,Port Harcourt-Lagos,29.59,HFO,1508.32,4147.88,Calm,78.79,24.05,77.89,754.16
Surfer Boat,Escravos-Lagos,115.37,Hydrogen,3366.5,0.0,Moderate,84.44,12.06,86.53,5049.75
Tanker Ship,Warri-Bonny,281.21,Diesel,11905.49,31103.09,Calm,72.25,15.12,73.26,7143.29
Tanker Ship,Port Harcourt-Lagos,462.22,HFO,8495.21,23361.83,Stormy,76.47,11.7,53.01,4247.6
Tanker Ship,Lagos-Apapa,94.26,LNG,9295.45,19171.87,Moderate,89.94,23.87,78.11,4182.95
Tanker Ship,Warri-Bonny,473.09,LNG,70292.3,144977.87,Moderate,90.78,23.16,97.88,31631.54
Tanker Ship,Lagos-Apapa,238.81,LNG,7956.62,16410.53,Stormy,85.61,13.87,58.77,3580.48
Tanker Ship,Lagos-Apapa,97.09,Diesel,6423.61,16781.68,Stormy,93.55,19.9,84.5,3854.17
Tanker Ship,Warri-Bonny,233.11,HFO,18636.24,51249.66,Stormy,73.78,22.26,60.05,9318.12
Tanker Ship,Lagos-Apapa,453.47,Hydrogen,77105.61,0.0,Moderate,72.15,18.33,76.79,115658.42
Tanker Ship,Lagos-Apapa,364.42,Diesel,12977.55,33903.85,Stormy,90.92,17.94,54.83,7786.53
Tanker Ship,Warri-Bonny,429.43,LNG,15040.03,31020.06,Moderate,75.28,13.63,72.52,6768.01
Tanker Ship,Warri-Bonny,391.77,Methanol,14307.88,35412.0,Moderate,74.77,11.4,87.81,10015.52
Tanker Ship,Warri-Bonny,102.58,LNG,9784.82,20181.19,Stormy,73.48,23.46,67.38,4403.17
Tanker Ship,Lagos-Apapa,380.49,Diesel,42047.33,109848.65,Stormy,76.51,23.51,83.25,25228.4
Tanker Ship,Port Harcourt-Lagos,150.79,Diesel,9906.26,25880.1,Calm,72.59,19.5,89.77,5943.76
Tanker Ship,Escravos-Lagos,379.45,LNG,22135.46,45654.39,Calm,83.25,15.09,96.36,9960.96
Tanker Ship,Port Harcourt-Lagos,237.22,Ammonia,8523.04,1171.92,Stormy,79.48,15.24,61.73,7670.74
Tanker Ship,Escravos-Lagos,242.71,Ammonia,24611.83,3384.13,Stormy,72.24,20.89,69.97,22150.65
Tanker Ship,Warri-Bonny,222.86,HFO,13001.15,35753.16,Stormy,74.13,23.46,57.62,6500.58
Tanker Ship,Lagos-Apapa,243.28,HFO,33994.19,93484.02,Calm,72.21,23.31,99.62,16997.1
Tanker Ship,Port Harcourt-Lagos,398.12,Ammonia,61324.02,8432.05,Stormy,91.55,21.7,96.35,55191.62
Tanker Ship,Warri-Bonny,170.59,Methanol,11844.13,29314.22,Stormy,71.35,19.63,77.0,8290.89
Tanker Ship,Lagos-Apapa,308.63,Ammonia,11172.9,1536.27,Stormy,90.28,11.26,92.1,10055.61
Tanker Ship,Warri-Bonny,483.05,HFO,11517.46,31673.02,Stormy,89.88,12.42,76.05,5758.73
Tanker Ship,Lagos-Apapa,275.21,LNG,33406.45,68900.8,Stormy,91.67,23.48,81.18,15032.9
Surfer Boat,Port Harcourt-Lagos,39.85,Methanol,991.07,2452.9,Calm,86.51,19.1,54.46,693.75
Surfer Boat,Port Harcourt-Lagos,32.2,LNG,238.16,491.2,Stormy,79.34,10.14,87.76,107.17
Surfer Boat,Lagos-Apapa,70.82,Diesel,551.01,1439.51,Moderate,85.71,11.52,56.39,330.61
Surfer Boat,Escravos-Lagos,113.52,HFO,3996.73,10991.01,Stormy,91.81,19.95,91.3,1998.36
Surfer Boat,Lagos-Apapa,63.25,LNG,398.81,822.55,Calm,83.96,10.08,89.1,179.46
Surfer Boat,Warri-Bonny,80.21,Diesel,869.63,2271.91,Moderate,74.14,12.41,85.44,521.78
Surfer Boat,Escravos-Lagos,34.56,Diesel,489.17,1277.96,Stormy,79.34,18.23,51.81,293.5
Surfer Boat,Lagos-Apapa,150.1,Hydrogen,11150.22,0.0,Stormy,91.9,20.38,65.16,16725.33
Surfer Boat,Escravos-Lagos,74.44,Diesel,1753.73,4581.62,Calm,76.64,19.78,63.16,1052.24
Surfer Boat,Escravos-Lagos,73.51,Methanol,1150.46,2847.39,Stormy,70.88,13.36,68.01,805.32
Surfer Boat,Lagos-Apapa,171.31,HFO,2949.86,8112.12,Calm,71.5,20.68,54.38,1474.93
Surfer Boat,Lagos-Apapa,106.5,LNG,1797.1,3706.52,Calm,71.23,13.56,96.85,808.7
Fishing Trawler,Port Harcourt-Lagos,188.94,Hydrogen,13787.04,0.0,Calm,92.08,14.88,77.69,20680.56
Fishing Trawler,Port Harcourt-Lagos,59.55,HFO,3003.44,8259.46,Calm,85.29,21.2,65.28,1501.72
Fishing Trawler,Escravos-Lagos,50.74,HFO,1774.65,4880.29,Calm,84.38,19.74,69.85,887.32
Fishing Trawler,Warri-Bonny,124.04,Diesel,6471.39,16906.51,Calm,84.88,22.74,72.36,3882.83
Fishing Trawler,Lagos-Apapa,57.02,HFO,3020.2,8305.55,Stormy,88.63,19.86,80.03,1510.1
Fishing Trawler,Warri-Bonny,126.52,Methanol,5619.63,13908.58,Calm,78.24,18.52,75.78,3933.74
Fishing Trawler,Escravos-Lagos,101.03,Ammonia,2976.63,409.29,Moderate,91.55,11.41,95.97,2678.97
Fishing Trawler,Lagos-Apapa,94.5,Diesel,2765.58,7225.08,Stormy,73.97,15.52,74.85,1659.35
Fishing Trawler,Lagos-Apapa,148.66,Diesel,3420.25,8935.4,Stormy,78.35,13.98,99.61,2052.15
Fishing Trawler,Lagos-Apapa,170.89,Diesel,4484.98,11717.01,Stormy,73.89,13.66,92.57,2690.99
Fishing Trawler,Warri-Bonny,177.26,Methanol,12988.17,32145.72,Calm,83.91,24.6,60.43,9091.72
Fishing Trawler,Lagos-Apapa,168.28,HFO,7294.53,20059.96,Stormy,75.23,15.9,96.53,3647.26
Oil Service Boat,Lagos-Apapa,98.82,LNG,5072.5,10462.03,Moderate,79.87,23.38,55.82,2282.62
Oil Service Boat,Port Harcourt-Lagos,149.95,LNG,11361.11,23432.29,Moderate,71.2,19.47,90.87,5112.5
Oil Service Boat,Lagos-Apapa,141.31,LNG,8184.85,16881.25,Moderate,92.56,21.92,69.03,3683.18
Oil Service Boat,Lagos-Apapa,134.49,HFO,6298.97,17322.17,Calm,85.3,17.54,93.9,3149.48
Oil Service Boat,Port Harcourt-Lagos,25.14,Methanol,1854.67,4590.31,Calm,92.69,18.65,93.4,1298.27
Oil Service Boat,Lagos-Apapa,137.44,HFO,5598.45,15395.74,Stormy,78.53,17.39,90.3,2799.22
Oil Service Boat,Lagos-Apapa,118.76,HFO,3207.94,8821.84,Moderate,91.54,12.93,89.5,1603.97
